ZIP,AMOUNT,COUNT
10001,10840,14
10002,68499.98999999999,164
10003,8850,14
10004,14000,8
10005,2800,4
10007,19495.76,21
10009,7190,17
10010,8100,12
10011,7975,14
10012,7575,17
10013,84868.1,114
10014,3300,6
10016,24550,32
10017,18231.2,18
10018,1850,5
10019,15650,17
10021,15131.2,14
10022,6800,13
10023,20450,29
10024,16575,25
10025,7150,15
10027,1275,6
10028,4000,5
10029,5150,14
10030,1600,2
10031,1200,3
10032,50,1
10035,170,3
10036,20300,15
10037,250,3
10038,21280,47
10040,200,1
10044,1000,1
10065,15100,13
10069,900,3
10075,5600,8
10128,2970,7
10162,1250,2
10166,500,1
10168,1000,2
10279,1300,2
10280,5200,7
10282,500,1
10301,3950,8
10302,500,1
10303,950,5
10304,7250,13
10305,9400,15
10306,2770,8
10312,7500,14
10314,7900,13
10338,800,1
10453,150,1
10457,1100,2
10458,1075,3
10459,20,1
10460,140,2
10461,2800,6
10462,2505,15
10463,4450,6
10465,1800,3
10466,800,1
10468,150,2
10469,250,2
10470,800,2
10472,1890,8
10473,50,3
10502,1000,1
10504,6000,8
10506,3150,7
10507,250,1
10510,3700,5
10512,800,1
10514,250,1
10530,700,2
10536,1050,2
10538,0,2
10541,100,1
10543,3100,4
10550,1200,4
10580,1000,2
10583,12450,25
10594,800,1
10598,1300,2
10604,4600,7
10606,100,1
10607,800,1
10704,800,1
10705,1300,2
10706,800,1
10707,500,1
10708,800,1
10710,800,3
10803,1000,1
10804,1250,4
10901,800,1
10913,750,3
10930,1000,1
10931,800,1
10952,200,1
10960,1800,2
10962,50,1
10964,800,1
10977,300,2
10980,100,1
10983,150,2
10990,800,1
10992,750,1
11001,100,1
11003,1850,3
11004,4100,3
11005,850,2
11010,2050,2
11020,25900,26
11021,18800,32
11023,13600,18
11024,25150,21
11030,78650,79
11040,18490,34
11050,13500,22
11054,800,1
11096,5750,3
11101,9850,14
11102,1201.08,10
11103,5375,14
11104,2330,6
11105,2960,8
11106,990,8
11109,800,1
11201,27585,50
11203,800,1
11204,17025,50
11205,4835,12
11206,720,5
11207,800,1
11208,920,4
11209,8060,27
11210,4000,5
11211,9060,14
11214,31480,62
11215,4505,30
11216,50,1
11217,2441,20
11218,10750,21
11219,27910.19,60
11220,34358,67
11221,4180,7
11222,4800,21
11223,10760,25
11224,2600,10
11225,250,2
11226,410,5
11228,19450,39
11229,13990,40
11230,2100,11
11231,2955,9
11232,1950,8
11233,75,1
11234,12500,23
11235,5870,24
11236,45,2
11237,8070,16
11238,2600,21
11241,5450,4
11249,1600,2
11345,400,1
11354,98435,167
11355,158359.01,265
11356,30473.38,41
11357,41700,71
11358,43960,80
11360,32300,41
11361,20150,31
11362,33450,49
11363,33650,33
11364,46300,96
11365,50440,97
11366,10300,23
11367,19405,47
11368,13780,42
11369,2350,7
11370,700,8
11372,12750,58
11373,34720,72
11374,18555,43
11375,37938.880000000005,70
11377,23080,45
11378,10700,18
11379,6120,11
11385,4273,12
11413,800,1
11414,6250,6
11415,2650,4
11416,5720,13
11417,2700,5
11418,12150,18
11419,10890,9
11420,3550,8
11421,3400,11
11422,400,4
11423,7250,16
11426,250,3
11427,6101,12
11428,400,4
11432,16775.22,46
11433,820,2
11435,5680,15
11501,3300,5
11507,13400,20
11510,2400,3
11514,800,1
11516,1600,2
11530,4000,5
11542,5350,9
11545,5250,7
11548,605,2
11550,1000,1
11552,1800,3
11554,2200,5
11556,800,1
11557,4200,5
11558,800,1
11559,1200,2
11560,6550,4
11565,900,2
11566,1050,2
11568,13700,15
11570,2350,4
11572,1850,4
11576,37900,41
11577,17000,20
11580,4700,8
11581,2350,7
11590,1851,4
11596,2100,6
11598,3200,5
11691,50,1
11692,1000,2
11693,100,1
11694,800,1
11702,100,1
11704,200,1
11710,4950,2
11712,800,1
11714,200,1
11720,1600,2
11725,2400,3
11727,200,1
11729,50,1
11731,1800,3
11732,800,1
11733,800,1
11735,1600,2
11743,800,1
11746,8600,15
11747,350,2
11751,800,1
11753,11138,18
11754,800,1
11755,100,1
11756,1600,3
11758,1050,2
11762,50,1
11767,800,1
11769,250,1
11771,5200,6
11776,3200,4
11783,800,1
11784,1600,2
11786,800,1
11787,6650,9
11788,9150,21
11791,12450,11
11793,500,2
11797,5350,8
11798,1800,2
11801,4000,6
11802,800,1
11803,6450,9
11901,2400,3
11952,200,1
12110,100,1
12188,500,1
12210,2300,3
12211,1300,2
12303,100,1
12443,800,1
12590,50,1
12701,800,1
