name,address,full_day_seats,lat,lon
Anna Lefkowitz DCC*,690 Westchester Avenue NY 10455,34,40.8168975,-73.9070367
Betances Early Childhood Center (NYCHA)*,528 East 146th Street NY 10455,19,40.8126002,-73.9149948
Brightside Academy - St Ann*,800 Saint Ann Avenue NY 10456,17,40.8033466,-73.9188241
Children's Pride*,414 Morris Avenue NY 10451,30,40.814486,-73.922739
Concord Head Start/Early Learn Center*,560 Concord Avenue NY 10455,17,40.8137382,-73.9075525
Episcopal Social Services Head Start (Paul's House)*,500 Bergen Avenue NY 10455,12,40.8148383,-73.9181692
Hunts Point Multi Service Centers,630 Jackason Ave NY 10455,71,40.8152086,-73.9079983
Iola Jordan Day Care*,421 East 161st Street NY 10451,55,40.824276,-73.912896
Little Haven @ Mott Haven Academy,170 Brown Place NY 10454,54,40.806302,-73.920873
Melrose Child Care Center,731 Courtlandt Avenue NY 10451,60,40.8216134,-73.9172394
Mill Brook*,201 Saint Ann Avenue NY 10454,15,40.8033466,-73.9188241
Mott Haven*,375 East 143rd Street NY 10454,38,40.8128241,-73.9213417
NYC Charter school for Architecture engineering and construstruction industies,296 East 140th street NY 10454,174,40.8115023,-73.9250828
Philip H. Michaels CDC*,629 Courtlandt Avenue NY 10451,116,40.818523,-73.918921
Public Prep Network,436 East 149th Street NY 10455,36,40.8148469,-73.9162167
Soundview Child Care Center,1700 Seward Ave NY 10473,60,40.8184145,-73.8678656
South Bronx Head Start I*,490 East 143rd Street NY 10454,40,40.8110591,-73.9178671
St. Anselm School,685 Tinton Avenue NY 10455,18,40.8163498,-73.9053452
"The Salvation Army, Bronx Citadel*",425 E 159th St NY 10451,18,40.8227957,-73.913363
Winifred Wheeler*,200 Alexander Avenue NY 10454,20,40.8091009,-73.9252541
Blondell Joyner DCC*,901 Tinton Avenue NY 10456,31,40.8216633,-73.9035607
Brightside Academy - Intervale*,960 Intervale Avenue NY 10459,17,40.8218254,-73.8968182
Bronxdale Nursery*,1065 Beach Avenue NY 10472,34,40.8270728,-73.8652704
DR. KATHERINE D. BROWNELL SCHOOL,450 Castle Hill Avenue NY 10473,0,40.816714,-73.847073
Dr. Richard Green Learning Center,2165 Randall Avenue NY 10473,0,40.8189572,-73.849116
Five Star DCC*,3261 Third Avenue NY 10456,43,40.824592,-73.908844
Fulton (Center #4)*,1717 Fulton Avenue NY 10457,57,40.841754,-73.89797
Gwendolyn Bland DC*,749 East 163rd Street NY 10456,50,40.8229203,-73.9038698
Holy Cross School,1846 Randall Avenue NY 10473,72,40.8172947,-73.86072
Holy Family School,2169 Blackrock Ave NY 10472,0,40.829271,-73.851092
Just 4 Kids Kiddie Kollege,781 Castle Hill Avenue NY 10473,0,40.82289,-73.849597
"Kiderific Nursery School, Inc.",1621 Pilgrim Avenue NY 10461,12,40.844062,-73.834247
LSSMNY: Early LIFE Children's Center 2*,888 Westchester Avenue NY 10459,74,40.8207922,-73.8994529
LSSMNY: Early LIFE Children's Center 6*,2125 Watson Avenue NY 10472,43,40.829799,-73.852836
Manida (Center #1)*,711 Manida Street NY 10474,83,40.814495,-73.8888489
NP Ready Set Learn,830 Fox Street NY 10459,36,40.81742,-73.896073
Paul T. Matson Head Start 1*,1951 Washington Avenue NY 10457,31,40.8481498,-73.8977024
Paul T. Matson Head Start 4*,1244 Manor Avenue NY 10472,30,40.830427,-73.876402
Paul T. Matson Head Start 5*,1780 Story Avenue NY 10473,17,40.8230766,-73.867092
Prospect Early Childhood Center*,730 Kelly Street NY 10455,14,40.8162812,-73.8997337
RAINBOW AFTER SCHOOL PROGRAM,880 Thieriot Avenue NY 10473,18,40.8232664,-73.8619983
Rainbow Montessori,816 Clarence Avenue NY 10465,12,40.8316592,-73.8167924
SAINT THERESA SCHOOL,2872 Saint Theresa Avenue NY 10461,72,40.849077,-73.833599
SHINING STAR,3573 Bruckner Boulevard NY 10461,0,40.849623,-73.828271
"STEPPING STONE DAY SCHOOL, INC.",2826 Westchester Avenue NY 10461,18,40.844168,-73.835368
Throggs Neck Child Care Center*,461 Swinton Avenue NY 10465,15,40.8203905,-73.8223101
"Trabajamos Community Head Start, Inc. Center #1*",940 East 156th Street NY 10455,12,40.816306,-73.900466
TUTOR TIME,4022 East Tremont Avenue NY 10465,72,40.8197386,-73.817664
Watson Avenue ECC*,1880 Watson Avenue NY 10472,49,40.828006,-73.861277
Aleene Logan Preschool Center*,1450 Webster Avenue NY 10456,22,40.8379224,-73.9062444
Brightside Academy - Webster*,1465 Webster Avenue NY 10456,22,40.8381956,-73.9062383
BRONX EARLY LEARNING CENTER,1887 Bathgate Avenue NY 10457,16,40.846494,-73.897626
BronxWorks,1472 Montgomery Avenue NY 10453,36,40.847414,-73.920905
BronxWorks ECLC*,1130 Grand Concourse NY 10456,38,40.8326053,-73.9187582
Bronxworks NYCHA Sedgwick,1531 University Avenue NY 10453,54,40.8496406,-73.9170648
Christ the King Elementary School,1345 Grand Concourse NY 10452,0,40.8374248,-73.9153368
HELP II*,285 East 171st Street NY 10457,24,40.8389414,-73.9101446
Highbridge Advisory Council Day Care Center ( Nelson Avenue)*,1181 Nelson Avenue NY 10452,26,40.8373442,-73.9260159
Highbridge Advisory Council Doris E. Stone Day Care*,1165 University Avenue NY 10452,35,40.8368615,-73.9285234
Highbridge Advisory Council Early Childhood Center #1*,1594 Townsend Avenue NY 10452,47,40.8443499,-73.9132709
Highbridge Advisory Council Early Childhood Center #3*,1399 Ogden Avenue NY 10452,28,40.8424145,-73.9242054
Highbridge Advisory Council Head Start*,880 River Avenue NY 10452,51,40.8278151,-73.9259088
Highbridge Advisory Council Marshall England Early Learning Center*,800 Concourse Village East NY 10451,41,40.82394,-73.9189081
Labor Bathgate Community CCC*,1638 Anthony Avenue NY 10457,26,40.8423192,-73.9046853
Louis A. Fickling Child Development Center*,1240 Webster Avenue NY 10456,21,40.8326073,-73.9091575
LSSMNY: Early LIFE Children's Center 1*,80 East 181st Street NY 10453,105,40.8550106,-73.9043248
LSSMNY: Early LIFE Children's Center 4*,200 West Tremont Avenue NY 10453,53,40.8518427,-73.9170441
Mid Bronx CCRP ECC 1*,1125 Grand Concourse NY 10452,151,40.832748,-73.9202476
Mid Bronx CCRP ECC 2*,100-102 East Mount Eden Avenue NY 10452,96,40.8435454,-73.9129866
Mid Bronx CCRP ECC 3*,1360 Ogden Avenue NY 10452,22,40.841556,-73.9244159
Mid Bronx CCRP ECC 4*,10201022 Summit Avenue NY 10452,32,40.8331971,-73.9302125
Mid Bronx Senior Citizen Center,100-120 East Mount Eden Avenue NY 10451,90,40.8432256,-73.9124646
Promesa Multi- Cultural DCC II*,300 East 175th Street NY 10457,58,40.8464619,-73.9044874
Richard H. Mangum Early Learning Center*,921 Melrose Ave. NY 10451,22,40.8252988,-73.9134348
Seventh Avenue Center 1*,1646 Montgomery Avenue NY 10453,33,40.8487466,-73.9198683
Sharon Baptist - Center I*,507-509 East 165th Street NY 10456,62,40.8267201,-73.9081306
Sharon Baptist - Center II*,279 East Burnside Avenue NY 10457,54,40.8512487,-73.9016522
Sharon Baptist - Center IV*,1925 Bathgate Avenue NY 10457,44,40.847365,-73.897164
Sharon Baptist Center 1,1925 Bathgate Avenue NY 10457,54,40.847365,-73.897164
South Bronx Head Start II*,141 Featherbed Lane NY 10452,54,40.8465026,-73.9203304
South Bronx Head Start Site 3,1458 Webster Avenue NY 10456,75,40.8378738,-73.9058937
"Trabajamos Community Head Start, Inc. Center #2*",1905 Morris Avenue NY 10453,27,40.8498171,-73.9081186
Tremont Monterey DCC 2*,1600 Bathgate Avenue NY 10457,21,40.8395528,-73.9010814
Walton (Center #5)*,1871 Walton Avenue NY 10453,114,40.8488973,-73.9095473
